rounds,input_bit_index,output_bit_index,seed,rng_seed,samples,flip_count,flip_rate,baseline_delta
13,19,255,4,20264531,500,256,0.512000,0.012000
13,19,255,5,20265531,500,269,0.538000,0.038000
13,19,255,6,20266531,500,250,0.500000,0.000000
13,19,255,7,20267531,500,238,0.476000,-0.024000
13,19,255,8,20268531,500,265,0.530000,0.030000
13,19,255,9,20269531,500,264,0.528000,0.028000
13,19,255,10,20270531,500,271,0.542000,0.042000
13,19,255,11,20271531,500,246,0.492000,-0.008000
13,19,255,12,20272531,500,261,0.522000,0.022000
13,19,255,13,20273531,500,252,0.504000,0.004000
13,19,255,14,20274531,500,257,0.514000,0.014000
13,19,255,15,20275531,500,241,0.482000,-0.018000
13,19,255,16,20276531,500,271,0.542000,0.042000
13,19,255,17,20277531,500,253,0.506000,0.006000
13,19,255,18,20278531,500,230,0.460000,-0.040000
13,19,255,19,20279531,500,258,0.516000,0.016000
13,19,255,20,20280531,500,227,0.454000,-0.046000
13,20,255,1,20261532,500,260,0.520000,0.020000
13,20,255,2,20262532,500,258,0.516000,0.016000
13,20,255,3,20263532,500,251,0.502000,0.002000
13,20,255,4,20264532,500,233,0.466000,-0.034000
13,20,255,5,20265532,500,253,0.506000,0.006000
13,20,255,6,20266532,500,252,0.504000,0.004000
13,20,255,7,20267532,500,246,0.492000,-0.008000
13,20,255,8,20268532,500,262,0.524000,0.024000
13,20,255,9,20269532,500,251,0.502000,0.002000
13,20,255,10,20270532,500,267,0.534000,0.034000
13,20,255,11,20271532,500,234,0.468000,-0.032000
13,20,255,12,20272532,500,242,0.484000,-0.016000
13,20,255,13,20273532,500,263,0.526000,0.026000
13,20,255,14,20274532,500,254,0.508000,0.008000
13,20,255,15,20275532,500,247,0.494000,-0.006000
13,20,255,16,20276532,500,252,0.504000,0.004000
13,20,255,17,20277532,500,234,0.468000,-0.032000
13,20,255,18,20278532,500,255,0.510000,0.010000
13,20,255,19,20279532,500,257,0.514000,0.014000
13,20,255,20,20280532,500,250,0.500000,0.000000
13,21,255,1,20261533,500,253,0.506000,0.006000
13,21,255,2,20262533,500,264,0.528000,0.028000
13,21,255,3,20263533,500,253,0.506000,0.006000
13,21,255,4,20264533,500,253,0.506000,0.006000
13,21,255,5,20265533,500,257,0.514000,0.014000
13,21,255,6,20266533,500,243,0.486000,-0.014000
13,21,255,7,20267533,500,240,0.480000,-0.020000
13,21,255,8,20268533,500,233,0.466000,-0.034000
13,21,255,9,20269533,500,250,0.500000,0.000000
13,21,255,10,20270533,500,235,0.470000,-0.030000
13,21,255,11,20271533,500,258,0.516000,0.016000
13,21,255,12,20272533,500,253,0.506000,0.006000
13,21,255,13,20273533,500,244,0.488000,-0.012000
13,21,255,14,20274533,500,255,0.510000,0.010000
13,21,255,15,20275533,500,243,0.486000,-0.014000
13,21,255,16,20276533,500,245,0.490000,-0.010000
13,21,255,17,20277533,500,245,0.490000,-0.010000
13,21,255,18,20278533,500,257,0.514000,0.014000
13,21,255,19,20279533,500,233,0.466000,-0.034000
13,21,255,20,20280533,500,251,0.502000,0.002000
13,22,255,1,20261534,500,247,0.494000,-0.006000
13,22,255,2,20262534,500,257,0.514000,0.014000
13,22,255,3,20263534,500,261,0.522000,0.022000
13,22,255,4,20264534,500,246,0.492000,-0.008000
13,22,255,5,20265534,500,241,0.482000,-0.018000
13,22,255,6,20266534,500,233,0.466000,-0.034000
13,22,255,7,20267534,500,260,0.520000,0.020000
13,22,255,8,20268534,500,235,0.470000,-0.030000
13,22,255,9,20269534,500,257,0.514000,0.014000
13,22,255,10,20270534,500,247,0.494000,-0.006000
