rounds,input_bit_index,output_bit_index,seed_count,samples_per_seed,total_samples,flip_count,baseline,flip_rate,ci_level,ci_method,ci_low,ci_high,baseline_delta,ci_contains_baseline,p_value_method,raw_p_value,seed_min_flip_rate,seed_max_flip_rate,holm_adjusted_p_value,holm_reject_baseline
13,115,255,20,500,10000,5000,0.500000,0.500000,0.950000,wilson_score,0.490202,0.509798,0.000000,True,normal_approximation_two_sided,0.99202129,0.452000,0.534000,1,False
13,116,255,20,500,10000,4956,0.500000,0.495600,0.950000,wilson_score,0.485804,0.505399,-0.004400,True,normal_approximation_two_sided,0.3843004,0.448000,0.530000,1,False
13,117,255,20,500,10000,4970,0.500000,0.497000,0.950000,wilson_score,0.487203,0.506799,-0.003000,True,normal_approximation_two_sided,0.55519065,0.454000,0.540000,1,False
13,118,255,20,500,10000,4984,0.500000,0.498400,0.950000,wilson_score,0.488603,0.508199,-0.001600,True,normal_approximation_two_sided,0.75656096,0.454000,0.544000,1,False
13,119,255,20,500,10000,4991,0.500000,0.499100,0.950000,wilson_score,0.489302,0.508898,-0.000900,True,normal_approximation_two_sided,0.86501014,0.430000,0.530000,1,False
13,120,255,20,500,10000,4941,0.500000,0.494100,0.950000,wilson_score,0.484305,0.503900,-0.005900,True,normal_approximation_two_sided,0.24200097,0.454000,0.540000,1,False
13,121,255,20,500,10000,5037,0.500000,0.503700,0.950000,wilson_score,0.493901,0.513496,0.003700,True,normal_approximation_two_sided,0.46539018,0.464000,0.530000,1,False
13,122,255,20,500,10000,4989,0.500000,0.498900,0.950000,wilson_score,0.489103,0.508698,-0.001100,True,normal_approximation_two_sided,0.83366767,0.444000,0.554000,1,False
13,123,255,20,500,10000,5004,0.500000,0.500400,0.950000,wilson_score,0.490602,0.510198,0.000400,True,normal_approximation_two_sided,0.94419366,0.468000,0.528000,1,False
13,124,255,20,500,10000,4997,0.500000,0.499700,0.950000,wilson_score,0.489902,0.509498,-0.000300,True,normal_approximation_two_sided,0.96012239,0.460000,0.532000,1,False
